ref,cor,url
047396,05,https://photo.anselmi.ind.br/Fotos/47396_05.jpg
047584,01,https://photo.anselmi.ind.br/Fotos/47584_01.jpg
012092,01,https://photo.anselmi.ind.br/Fotos/12092_01.jpg
012524,10,https://photo.anselmi.ind.br/Fotos/12524_10.jpg
010357,10,https://photo.anselmi.ind.br/Fotos/10357_10.jpg
010294,10,https://photo.anselmi.ind.br/Fotos/10294_10.jpg
011335,02,https://photo.anselmi.ind.br/Fotos/11335_02.jpg
012939,01,https://photo.anselmi.ind.br/Fotos/12939_01.jpg
047433,01,https://photo.anselmi.ind.br/Fotos/47433_01.jpg
027912,07,https://photo.anselmi.ind.br/Fotos/27912_07.jpg
047659,10,https://photo.anselmi.ind.br/Fotos/47659_10.jpg
026490,1,https://photo.anselmi.ind.br/Fotos/26490_1.jpg
047350,01,https://photo.anselmi.ind.br/Fotos/47350_01.jpg
012497,01,https://photo.anselmi.ind.br/Fotos/12497_01.jpg
015859,C25,https://photo.anselmi.ind.br/Fotos/15859_c25.jpg
047507,03,https://photo.anselmi.ind.br/Fotos/47507_03.jpg
027912,ROSE,https://photo.anselmi.ind.br/Fotos/27912_rose.jpg
047546,01,https://photo.anselmi.ind.br/Fotos/47546_01.jpg
029386,01,https://photo.anselmi.ind.br/Fotos/29386_01.jpg
046957,01,https://photo.anselmi.ind.br/Fotos/46957_01.jpg
011591,10,https://photo.anselmi.ind.br/Fotos/11591_10.jpg
028661,OFF,https://photo.anselmi.ind.br/Fotos/28661_off.jpg
047432,01,https://photo.anselmi.ind.br/Fotos/47432_01.jpg
013418,01,https://photo.anselmi.ind.br/Fotos/13418_01.jpg
015693,04,https://photo.anselmi.ind.br/Fotos/15693_04.jpg
046886,01,https://photo.anselmi.ind.br/Fotos/46886_01.jpg
047399,01,https://photo.anselmi.ind.br/Fotos/47399_01.jpg
047457,02,https://photo.anselmi.ind.br/Fotos/47457_02.jpg
026414,PINK,https://photo.anselmi.ind.br/Fotos/26414_pink.jpg
013281,01,https://photo.anselmi.ind.br/Fotos/13281_01.jpg
047519,01,https://photo.anselmi.ind.br/Fotos/47519_01.jpg
027506,13,https://photo.anselmi.ind.br/Fotos/27506_13.jpg
046943,10,https://photo.anselmi.ind.br/Fotos/46943_10.jpg
012373,10,https://photo.anselmi.ind.br/Fotos/12373_10.jpg
047661,11,https://photo.anselmi.ind.br/Fotos/47661_11.jpg
017176,10,https://photo.anselmi.ind.br/Fotos/17176_10.jpg
012973,01,https://photo.anselmi.ind.br/Fotos/12973_01.jpg
014772,02,https://photo.anselmi.ind.br/Fotos/14772_02.jpg
010826,01,https://photo.anselmi.ind.br/Fotos/10826_01.jpg
012337,03,https://photo.anselmi.ind.br/Fotos/12337_03.jpg
012615,10,https://photo.anselmi.ind.br/Fotos/12615_10.jpg
010012,01,https://photo.anselmi.ind.br/Fotos/10012_01.jpg
014449,01,https://photo.anselmi.ind.br/Fotos/14449_01.jpg
010578,01,https://photo.anselmi.ind.br/Fotos/10578_01.jpg
029229,4,https://photo.anselmi.ind.br/Fotos/29229_4.jpg
047538,02,https://photo.anselmi.ind.br/Fotos/47538_02.jpg
011964,10,https://photo.anselmi.ind.br/Fotos/11964_10.jpg
